"","x"
"s",718
"t",662
"great",649
"good",553
"food",530
"place",517
"can",339
"just",331
"service",317
"get",298
"like",298
"back",294
"time",293
"one",287
"also",283
"go",278
"really",277
"ve",252
"best",239
"will",238
"definitely",227
"love",223
"well",220
"always",210
"m",204
"delicious",202
"nice",188
"friendly",186
"us",180
"staff",178
"got",174
"amazing",172
"chicken",157
"even",156
"little",156
"recommend",152
"menu",147
"don",146
"try",143
"experience",141
"first",139
"people",138
"made",135
"new",132
"much",131
"came",129
"ordered",128
"didn",126
"bar",123
"make",123
"everything",121
"ever",119
"order",118
"right",117
"went",117
"want",116
"re",115
"restaurant",115
"around",113
"awesome",113
"5",112
"never",112
"super",111
"day",109
"say",109
"going",108
"work",108
"better",107
"fresh",106
"wait",106
"every",105
"come",103
"sure",103
"two",102
"area",101
"bit",100
"favorite",99
"pretty",99
"take",99
"eat",98
"see",98
"excellent",96
"night",96
"2",95
"know",95
"lunch",95
"now",95
"worth",95
"cheese",93
"highly",93
"tried",93
"think",92
"though",91
"way",90
"small",89
"find",88
"d",87
"still",87
"price",86
"happy",84
"sweet",84
"tasty",83
"loved",81
"times",81
"atmosphere",80
"dinner",80
"feel",80
"salad",80
"side",80
"something",80
"flavor",79
"coming",78
"hair",78
"lot",78
"perfect",78
"sauce",78
"different",77
"next",77
"enough",76
"many",76
"things",75
"drinks",73
"since",73
"spot",73
"4",72
"big",72
"hot",72
"prices",72
"years",72
"breakfast",71
"burger",71
"friends",71
"home",71
"long",70
"meal",70
"pizza",70
"top",70
"took",69
"3",68
"beer",68
"quality",68
"last",67
"ll",67
"places",67
"sandwich",66
"full",65
"rice",65
"room",65
"friend",64
"give",64
"location",64
"need",64
"wanted",64
"everyone",63
"fried",63
"looking",63
"store",63
"wasn",63
"wonderful",63
"car",62
"job",62
"house",61
"meat",61
"overall",61
"clean",60
"fantastic",60
"fries",60
"fun",60
"let",60
"another",59
"kind",59
"parking",59
"10",58
"actually",57
"beef",57
"done",57
"family",57
"open",57
"stars",57
"table",57
"anything",56
"away",56
"free",56
"thing",56
"coffee",55
"found",55
"helpful",55
"probably",55
"quite",55
"tacos",55
"tea",55
"visit",55
"able",54
"check",54
"cream",54
"look",53
"selection",53
"street",53
"usually",53
"enjoyed",52
"gave",52
"left",52
"minutes",52
"outside",52
"bread",51
"couple",51
"huge",51
"keep",51
"quick",51
"taste",51
"town",51
"care",50
"cut",50
"far",50
"lots",50
"soup",50
"absolutely",49
"dishes",49
"especially",49
"husband",49
"portland",49
"sushi",49
"thank",49
"wine",49
"drink",48
"fast",48
"high",48
"line",48
"bad",47
"easy",47
"large",47
"special",47
"although",46
"ask",46
"busy",46
"customer",46
"enjoy",46
"lobster",46
"nothing",46
"put",46
"shrimp",46
"spicy",46
"austin",45
"boston",45
"ice",45
"seafood",45
"thai",45
"chocolate",44
"dish",44
"local",44
"options",44
"cake",43
"cool",43
"decided",43
"felt",43
"hour",43
"old",43
"professional",43
"quickly",43
"roll",43
"steak",43
"vegan",43
"1",42
"beautiful",42
"door",42
"however",42
"tasted",42
"cooked",41
"end",41
"pork",41
"without",41
"disappointed",40
"dr",40
"extremely",40
"front",40
"getting",40
"half",40
"items",40
"knowledgeable",40
"part",40
"shop",40
"stop",40
"today",40
"used",40
"week",40
"bowl",39
"business",39
"dessert",39
"flavors",39
"must",39
"real",39
"reasonable",39
"restaurants",39
"review",39
"space",39
"year",38
"almost",37
"couldn",37
"dining",37
"kids",37
"less",37
"life",37
"light",37
"looked",37
"name",37
"plus",37
"brought",36
"called",36
"else",36
"impressed",36
"inside",36
"owner",36
"recommended",36
"whole",36
"anyone",35
"hard",35
"least",35
"making",35
"atlanta",34
"deal",34
"isn",34
"liked",34
"live",34
"needed",34
"perfectly",34
"several",34
"style",34
"20",33
"bring",33
"close",33
"group",33
"maybe",33
"person",33
"plenty",33
"thought",33
"cheap",32
"extra",32
"green",32
"help",32
"makes",32
"music",32
"pie",32
"pleasant",32
"point",32
"return",32
"reviews",32
"said",32
"second",32
"size",32
"star",32
"taco",32
"variety",32
"wish",32
"won",32
"working",32
"wrong",32
"call",31
"days",31
"decent",31
"fan",31
"seating",31
"set",31
"short",31
"sit",31
"tender",31
"waiting",31
"waitress",31
"wife",31
"attentive",30
"choice",30
"city",30
"comfortable",30
"doesn",30
"flavorful",30
"heard",30
"often",30
"seemed",30
"served",30
